"Nacimientos"
"Año de registro : 2018"
"Edad madre al nacimiento : De 25 a 29 años"
"Ent y mun de ocurrencia : Quintana Roo"
""
"Consulta de: Nacimientos registrados   Por: Ent y mun reside madre   Según: Escolaridad del padre"
"","","Total","Sin escolaridad","Primaria incompleta","Primaria completa","Secundaria o equivalente","Preparatoria o equivalente","Profesional","Otra","No especificado",""
" ","Total","7,621","81","91","534","2,511","1,679","775","59","1,891"
"=CONCATENAR(0,02) ","Baja California","2","","","","","1","","1",""
"=CONCATENAR(0,03) ","Baja California Sur","1","","1","","","","","",""
"=CONCATENAR(0,04) ","Campeche","82","","15","11","36","10","4","","6"
"=CONCATENAR(0,06) ","Colima","1","","","","","","","","1"
"=CONCATENAR(0,07) ","Chiapas","40","1","1","13","14","3","2","","6"
"=CONCATENAR(0,08) ","Chihuahua","1","","","","","","1","",""
"=CONCATENAR(0,09) ","Ciudad de México","4","","","","1","1","1","","1"
"=CONCATENAR( ,11) ","Guanajuato","4","","","","4","","","",""
"=CONCATENAR( ,12) ","Guerrero","7","1","","1","1","1","1","2",""
"=CONCATENAR( ,14) ","Jalisco","1","","","","","","1","",""
"=CONCATENAR( ,15) ","México","10","","","2","3","3","2","",""
"=CONCATENAR( ,18) ","Nayarit","2","","","","","","","","2"
"=CONCATENAR( ,19) ","Nuevo León","3","","","","","3","","",""
"=CONCATENAR( ,20) ","Oaxaca","5","","","2","1","","","","2"
"=CONCATENAR( ,21) ","Puebla","4","","","1","2","","1","",""
"=CONCATENAR( ,22) ","Querétaro","1","","","","","1","","",""
"=CONCATENAR( ,23) ","Quintana Roo","7,271","74","70","491","2,382","1,607","742","56","1,849"
" 23 001 ","Cozumel","293","4","5","9","115","92","42","","26"
" 23 002 ","Felipe Carrillo Puerto","373","9","2","33","166","90","44","","29"
" 23 003 ","Isla Mujeres","100","1","4","10","35","19","8","1","22"
" 23 004 ","Othón P. Blanco","817","6","10","62","328","217","116","1","77"
" 23 005 ","Benito Juárez","3,424","34","13","210","1,259","760","393","37","718"
" 23 006 ","José María Morelos","168","4","6","27","77","28","14","","12"
" 23 007 ","Lázaro Cárdenas","54","","2","7","30","10","2","","3"
" 23 008 ","Solidaridad","1,521","3","6","53","180","305","64","15","895"
" 23 009 ","Tulum","199","5","11","20","64","49","28","1","21"
" 23 010 ","Bacalar","203","2","7","49","85","18","11","","31"
" 23 011 ","Puerto Morelos","119","6","4","11","43","19","20","1","15"
"=CONCATENAR( ,27) ","Tabasco","43","1","1","4","18","11","2","","6"
"=CONCATENAR( ,29) ","Tlaxcala","1","","","","1","","","",""
"=CONCATENAR( ,30) ","Veracruz de Ignacio de la Llave","23","","2","2","4","8","5","","2"
"=CONCATENAR( ,31) ","Yucatán","79","3","1","4","31","16","10","","14"
"=CONCATENAR( ,32) ","Zacatecas","1","","","1","","","","",""
"=CONCATENAR( ,34) ","Extranjero","35","1","","2","13","14","3","","2"

"FUENTE: INEGI. Estadísticas de natalidad."
