"Nacimientos"
"Año de registro : 2018"
"Edad madre al nacimiento : De 20 a 24 años"
"Ent y mun de ocurrencia : Quintana Roo"
""
"Consulta de: Nacimientos registrados   Por: Ent y mun reside madre   Según: Escolaridad del padre"
"","","Total","Sin escolaridad","Primaria incompleta","Primaria completa","Secundaria o equivalente","Preparatoria o equivalente","Profesional","Otra","No especificado",""
" ","Total","8,777","73","98","679","2,915","2,074","491","79","2,368"
"=CONCATENAR(0,02) ","Baja California","3","","","","1","","","","2"
"=CONCATENAR(0,04) ","Campeche","110","1","11","17","50","20","6","1","4"
"=CONCATENAR(0,05) ","Coahuila de Zaragoza","1","","","","","1","","",""
"=CONCATENAR(0,07) ","Chiapas","105","2","3","14","30","16","5","","35"
"=CONCATENAR(0,08) ","Chihuahua","2","","","","1","","","","1"
"=CONCATENAR(0,09) ","Ciudad de México","2","","","","1","1","","",""
"=CONCATENAR( ,11) ","Guanajuato","1","","","","","1","","",""
"=CONCATENAR( ,12) ","Guerrero","8","","","3","1","2","","2",""
"=CONCATENAR( ,13) ","Hidalgo","2","","","","","1","","","1"
"=CONCATENAR( ,14) ","Jalisco","2","","","","1","","1","",""
"=CONCATENAR( ,15) ","México","12","","","","3","5","","","4"
"=CONCATENAR( ,16) ","Michoacán de Ocampo","4","","","1","2","1","","",""
"=CONCATENAR( ,17) ","Morelos","1","","","1","","","","",""
"=CONCATENAR( ,20) ","Oaxaca","5","","1","2","1","","","","1"
"=CONCATENAR( ,21) ","Puebla","4","","","1","1","1","1","",""
"=CONCATENAR( ,23) ","Quintana Roo","8,262","70","78","612","2,727","1,968","466","75","2,266"
" 23 001 ","Cozumel","355","4","5","23","138","109","29","","47"
" 23 002 ","Felipe Carrillo Puerto","400","5","1","31","160","123","33","2","45"
" 23 003 ","Isla Mujeres","86","1","6","11","20","13","5","","30"
" 23 004 ","Othón P. Blanco","924","5","5","102","383","253","65","3","108"
" 23 005 ","Benito Juárez","3,993","31","16","281","1,470","963","246","45","941"
" 23 006 ","José María Morelos","197","7","8","19","97","42","7","","17"
" 23 007 ","Lázaro Cárdenas","89","","4","3","50","17","5","","10"
" 23 008 ","Solidaridad","1,564","6","8","62","175","296","45","25","947"
" 23 009 ","Tulum","232","1","10","17","98","64","12","","30"
" 23 010 ","Bacalar","283","4","13","50","90","55","6","","65"
" 23 011 ","Puerto Morelos","138","5","2","13","46","33","13","","26"
" 23 999 ","No especificado","1","1","","","","","","",""
"=CONCATENAR( ,25) ","Sinaloa","2","","","","","1","1","",""
"=CONCATENAR( ,27) ","Tabasco","75","","1","4","27","16","5","1","21"
"=CONCATENAR( ,28) ","Tamaulipas","1","","","","1","","","",""
"=CONCATENAR( ,30) ","Veracruz de Ignacio de la Llave","50","","","6","18","16","1","","9"
"=CONCATENAR( ,31) ","Yucatán","109","","4","14","41","21","5","","24"
"=CONCATENAR( ,34) ","Extranjero","16","","","4","9","3","","",""

"FUENTE: INEGI. Estadísticas de natalidad."
